2026-05-10 01:25:52,229 [INFO] jarvis.core.state_machine: Gesture detected: thumbs_up (conf: 0.85, State: CAMERA_MODE)
2026-05-10 01:25:52,511 [INFO] jarvis.core.state_machine: Gesture detected: open_palm (conf: 0.95, State: CAMERA_MODE)
2026-05-10 01:25:52,981 [INFO] jarvis.core.state_machine: Gesture detected: thumbs_up (conf: 0.85, State: CAMERA_MODE)
2026-05-10 01:25:53,122 [INFO] jarvis.core.state_machine: Gesture detected: thumbs_up (conf: 0.85, State: CAMERA_MODE)
2026-05-10 01:25:54,949 [INFO] jarvis.core.state_machine: Gesture detected: peace_sign (conf: 0.95, State: CAMERA_MODE)
2026-05-10 01:25:54,997 [INFO] jarvis.core.state_machine: Gesture detected: shake_up (conf: 0.85, State: CAMERA_MODE)
2026-05-10 01:25:55,123 [INFO] jarvis.core.state_machine: Gesture detected: three_fingers_up (conf: 0.90, State: CAMERA_MODE)
2026-05-10 01:25:55,188 [INFO] jarvis.core.state_machine: Gesture detected: three_fingers_up (conf: 0.90, State: CAMERA_MODE)
2026-05-10 01:25:55,233 [INFO] jarvis.core.state_machine: Gesture detected: three_fingers_up (conf: 0.90, State: CAMERA_MODE)
2026-05-10 01:25:55,365 [INFO] jarvis.core.state_machine: Gesture detected: three_fingers_up (conf: 0.90, State: CAMERA_MODE)
2026-05-10 01:25:55,421 [INFO] jarvis.core.state_machine: Gesture detected: three_fingers_up (conf: 0.90, State: CAMERA_MODE)
2026-05-10 01:25:55,472 [INFO] jarvis.core.state_machine: Gesture detected: three_fingers_up (conf: 0.90, State: CAMERA_MODE)
2026-05-10 01:25:55,600 [INFO] jarvis.core.state_machine: Gesture detected: three_fingers_up (conf: 0.90, State: CAMERA_MODE)
2026-05-10 01:25:55,655 [INFO] jarvis.core.state_machine: Gesture detected: three_fingers_up (conf: 0.90, State: CAMERA_MODE)
2026-05-10 01:25:55,701 [INFO] jarvis.core.state_machine: Gesture detected: three_fingers_up (conf: 0.90, State: CAMERA_MODE)
2026-05-10 01:25:55,831 [INFO] jarvis.core.state_machine: Gesture detected: three_fingers_up (conf: 0.90, State: CAMERA_MODE)
2026-05-10 01:25:55,889 [INFO] jarvis.core.state_machine: Gesture detected: three_fingers_up (conf: 0.90, State: CAMERA_MODE)
2026-05-10 01:25:55,938 [INFO] jarvis.core.state_machine: Gesture detected: three_fingers_up (conf: 0.90, State: CAMERA_MODE)
2026-05-10 01:25:56,067 [INFO] jarvis.core.state_machine: Gesture detected: three_fingers_up (conf: 0.90, State: CAMERA_MODE)
